No.,Kabupaten/Kota,Province,Institution,item_title, quantity ,unit,Realisasi Program,Year,Valid,Tautan,item_title,item_title_english
102,Karawang,Jawa Barat,PT Gemala Kempa Daya,Penanaman Pohon Langka dan Mangrove oleh Mitra CSR Jawa Barat,222,seedlings,222 bibit mangrove ditanam,2023,√,https://csr.jabarprov.go.id/post/penanaman-pohon-langka-dan-mangrove-oleh-mitra-csr-jawa-barat,Penanaman Pohon Langka dan Mangrove oleh Mitra CSR Jawa Barat,Planting Rare Trees and Mangroves by CSR Partners in West Java
103,Karawang,Jawa Barat,PT Eigerindo MPI,EIGER Adventure Lanjutkan Konservasi 10.000 Mangrove di Pesisir Karawang Utara ,10000,seedlings,10000 bibit mangrove ditanam,2024,√,https://mediaindonesia.com/nusantara/686252/eiger-adventure-lanjutkan-konservasi-10000-mangrovedi-pesisir-karawang-utara,EIGER Adventure Lanjutkan Konservasi 10.000 Mangrove di Pesisir Karawang Utara ,"EIGER Adventure Continues Conservation of 10,000 Mangroves on the North Coast of Karawang"
104,Karawang,Jawa Barat,Indonesia AirAsia,"Indonesia AirAsia Bersama Yayasan ITB74 dan KTH Cipta Pesona Lakukan Penaman 10,000 Bibit Mangrove untuk Pelestarian Alam ",10000,seedlings,10000 bibit mangrove ditanam,2024,√,https://newsroom.airasia.com/news/2024/12/14/indonesia-airasia-bersama-yayasan-itb74-dan-kth-cipta-pesona-lakukan-penanaman-10000-bibit-mangrove-untuk-pelestarian-alam#gsc.tab=0,"Indonesia AirAsia Bersama Yayasan ITB74 dan KTH Cipta Pesona Lakukan Penaman 10,000 Bibit Mangrove untuk Pelestarian Alam ","Indonesia AirAsia with ITB74 Foundation and KTH Cipta Pesona Plants 10,000 Mangrove Seedlings for Nature Conservation"
105,Karawang,Jawa Barat,Bio Farma,Peduli Lingkungan : Bio Farma Kolaborasi dengan Forum CSR Tenant Indotaisei ,600,seedlings,600 bibit mangrove ditanam,2023,√,https://www.biofarma.co.id/id/announcement/detail/peduli-lingkungan-bio-farma-kolaborasi-dengan-forum-csr-tenant-indotaisei-,Peduli Lingkungan : Bio Farma Kolaborasi dengan Forum CSR Tenant Indotaisei ,Caring for the Environment: Bio Farma Collaborates with Indotaisei Tenant CSR Forum
106,Karawang,Jawa Barat,Pertamina EP (PEP) Subang Field,"Terapkan SDG's, Pertamina EP Tanam 4 Ribu Pohon Mangrove di Pesisir Karawang ",4000,seedlings,4000 bibit mangrove ditanam,2024,√,https://swa.co.id/read/447990/terapkan-sdgs-pertamina-ep-tanam-4-ribu-pohon-mangrove-di-pesisir-karawang,"Terapkan SDG's, Pertamina EP Tanam 4 Ribu Pohon Mangrove di Pesisir Karawang ","Implementing SDGs, Pertamina EP Plants 4,000 Mangrove Trees on the Karawang Coast"
107,Bekasi,Jawa Barat,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,5000,seedlings,"
5000 bibit mangrove ditanam",2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings on Six Coastal Beaches in Indonesia"
108,Indramayu,Jawa Barat,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,3330,seedlings,3330 bibit mangrove ditanam,2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings on Six Coastal Beaches in Indonesia"
109,Pangandaran,Jawa Barat,"PT Suzuki Indomobil Sales (SIS), Pandu Laut Nusantara, Susi Air","Melindungi Pantai dari Abrasi, Suzuki dan Pandu Laut Nusantara Tanam 10.000 Mangrove ",10000,seedlings,10000 bibit mangrove ditanam,2024,√,https://swa.co.id/read/453540/melindungi-pantai-dari-abrasi-suzuki-dan-pandu-laut-nusantara-tanam-10000-mangrove,"Melindungi Pantai dari Abrasi, Suzuki dan Pandu Laut Nusantara Tanam 10.000 Mangrove ","Protecting the Coast from Abrasion, Suzuki and Pandu Laut Nusantara Plant 10,000 Mangroves"
110,Pangandaran,Jawa Barat,Bank BJB,"Tanam 2061 Pohon Mangrove, Bank BJB Dukung Indonesia Tanpa Pencucian Uang dan Penda0an Teroris ",2061,seedlings,2061 bibit mangrove ditanam,2022,√,https://www.bankbjb.co.id/news/tanam-2061-pohon-mangrove-bank-bjb-dukung-indonesia-tanpa-pencucian-uang-dan-pendanaan-teroris,"Tanam 2061 Pohon Mangrove, Bank BJB Dukung Indonesia Tanpa Pencucian Uang dan Penda0an Teroris ","Planting 2,061 Mangrove Trees, Bank BJB Supports Indonesia Against Money Laundering and Terrorism Financing"
111,Subang,Jawa Barat,"Bio Farma, Dinas Kehutanan Provinsi Jawa Barat, Perhutani, dan Wanadri",Hari Laut Sedunia : Bio Farma Tanam 2000 Pohon Mangrove di Kawasan Lahan Kritis ,2000,seedlings,2000 bibit mangrove ditanam ,2021,√,https://www.biofarma.co.id/id/announcement/detail/hari-laut-sedunia-bio-farma-tanam-2000-pohon-mangrove-di-kawasan-lahan-kritis,Hari Laut Sedunia : Bio Farma Tanam 2000 Pohon Mangrove di Kawasan Lahan Kritis ,"World Ocean Day: Bio Farma Plants 2,000 Mangrove Trees in Critical Land Areas"
112,Batang,Jawa Tengah,PLTU Batang,"Lestarikan Ekosistem Pesisir, PLTU Batang Tanam 2.000 Mangrove Avicennia di Roban Timur ",2000,seedlings,2000 bibit mangrove ditanam,2025,√,https://berita.batangkab.go.id/?p=1&id=14050,"Lestarikan Ekosistem Pesisir, PLTU Batang Tanam 2.000 Mangrove Avicennia di Roban Timur ","Preserving Coastal Ecosystems, PLTU Batang Plants 2,000 Avicennia Mangroves in East Roban"
113,Cilacap,Jawa Tengah,PT BNI Sekuritas dan Fairatmos,BNI Sekuritas Berkontribusi untuk Net Zero Emission melalui Konservasi Mangrove ,3000,seedlings,3000 bibit mangrove ditanam ,2025,√,https://keuangan.kontan.co.id/news/bni-sekuritas-berkontribusi-untuk-net-zero-emission-melalui-konservasi-mangrove,BNI Sekuritas Berkontribusi untuk Net Zero Emission melalui Konservasi Mangrove ,BNI Sekuritas Contributes to Net Zero Emissions Through Mangrove Conservation
114,Cilacap,Jawa Tengah,PT Pertamina Unit (Kilang) IV Cilacap,Pertamina Tanam 800 mangrove di daerah operasional Kilang Cilacap,800,seedlings,800 bibit mangrove ditanam,2025,√,https://www.antaranews.com/berita/5069273/pertamina-tanam-800-mangrove-di-daerah-operasional-kilang-cilacap,Pertamina Tanam 800 mangrove di daerah operasional Kilang Cilacap,Pertamina Plants 800 Mangroves in Cilacap Refinery Operational Area
115,Demak,Jawa Tengah,PT Telkom Indonesia (Persero) Tbk,Telkom Indonesia Luncurkan Program GoZero untuk Atasi Krisis Iklim ,10000,seedlings,10000 bibit mangrove ditanam,2024,√,https://kumparan.com/kumparanbisnis/telkom-indonesia-luncurkan-program-gozero-untuk-atasi-krisis-iklim-23v5xukPUbR,Telkom Indonesia Luncurkan Program GoZero untuk Atasi Krisis Iklim ,Telkom Indonesia Launches GoZero Program to Tackle the Climate Crisis
116,Demak,Jawa Tengah,Telkomsel bersama Jejak.In,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ",2000,seedlings,2000 bibit mangrove ditanam,2023,√,https://www.telkomsel.com/about-us/news/melanjutkan-program-carbon-offset-inisiatif-telkomsel-jaga-bumi-tanam-15060-pohon-di,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ","Continuing the Carbon Offset Program, Telkomsel’s “Care for Earth” Initiative Plants 15,060 Trees in Indonesia’s Mangrove Forests"
117,Kota Semarang,Jawa Tengah,Telkomsel bersama Jejak.In,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ",2000,seedlings,2000 bibit mangrove ditanam,2023,√,https://www.telkomsel.com/about-us/news/melanjutkan-program-carbon-offset-inisiatif-telkomsel-jaga-bumi-tanam-15060-pohon-di,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ","Continuing the Carbon Offset Program, Telkomsel’s “Care for Earth” Initiative Plants 15,060 Trees in Indonesia’s Mangrove Forests"
118,Kendal,Jawa Tengah,Telkomsel bersama Jejak.In,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ",2000,seedlings,2000 bibit mangrove ditanam,2023,√,https://www.telkomsel.com/about-us/news/melanjutkan-program-carbon-offset-inisiatif-telkomsel-jaga-bumi-tanam-15060-pohon-di,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ","Continuing the Carbon Offset Program, Telkomsel’s “Care for Earth” Initiative Plants 15,060 Trees in Indonesia’s Mangrove Forests"
119,Cilacap,Jawa Tengah,Telkomsel bersama Jejak.In,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ",3000,seedlings,3000 bibit mangrove ditanam,2023,√,https://www.telkomsel.com/about-us/news/melanjutkan-program-carbon-offset-inisiatif-telkomsel-jaga-bumi-tanam-15060-pohon-di,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ","Continuing the Carbon Offset Program, Telkomsel’s “Care for Earth” Initiative Plants 15,060 Trees in Indonesia’s Mangrove Forests"
120,Semarang,Jawa Tengah,OCBC dan LindungiHutan,"72nd Anniversary, PTPP Plants 720 Mangrove Seeds In Surabaya ",1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.ocbc.id/id/article/2025/01/02/langkah-nyata-csr-ocbc-bagi-lingkungan-melalui-penanaman,"Langkah Nyata CSR OCBC bagi Lingkungan melalui Penanaman 1.000 Bibit Mangrove di Desa Sukawali, Kabupaten Tangerang","OCBC’s Concrete CSR Step for the Environment Through the Planting of 1,000 Mangrove Seedlings in Sukawali Village, Tangerang Regency"
121,Kendal,Jawa Tengah,PT Doulton,"Lindungi Lingkungan, PT Doulton Tanam Mangrove di Beberapa Daerah di Kendal ",2500,seedlings,2500 bibit mangrove ditanam,2024,√,https://lingkarjateng.id/lindungi-lingkungan-pt-doulton-tanam-mangrove-di-beberapa-daerah-di-kendal/,"Lindungi Lingkungan, PT Doulton Tanam Mangrove di Beberapa Daerah di Kendal ","Protecting the Environment, PT Doulton Plants Mangroves in Several Areas of Kendal"
122,Kendal,Jawa Tengah,PT Samator,"Program CSR Samator, Tanam 3.000 Mangrove di Kendal ",3000,seedlings,3000 bibit mangrove ditanam,2022,√,https://www.ngopibareng.id/read/program-csr-samator-tanam-3-000-mangrove-di-kendal,"Program CSR Samator, Tanam 3.000 Mangrove di Kendal ","Samator CSR Program, Plants 3,000 Mangroves in Kendal"
123,Kendal,Jawa Tengah,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,10000,seedlings,10000 bibit mangrove ditanam,2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings on Six Coastal Beaches in Indonesia"
124,Semarang,Jawa Tengah,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,6000,seedlings,6000 bibit mangrove ditanam,2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings on Six Coastal Beaches in Indonesia"
125,Pati,Jawa Tengah,"Balai Pengelolaan Daerah Aliran Sungai (BPDAS) Pemali Jratun
dan Kelompok Kebun Bibit Rakyat (KBR) Saka Utama Tani ","Warga Dororejo Pati Tanam 50 Ribu Bibit Mangrove Hasil Budidaya, Demi Perbaiki Ekosistem Pesisir yang Rusak ",50000,seedlings,50000 bibit mangrove ditanam,2022,√,https://www.suaramerdeka.com/jawa-tengah/pr-045978724/warga-dororejo-pati-tanam-50-ribu-bibit-mangrove-hasil-budidaya-demi-perbaiki-ekosistem-pesisir-yang-rusak,"Warga Dororejo Pati Tanam 50 Ribu Bibit Mangrove Hasil Budidaya, Demi Perbaiki Ekosistem Pesisir yang Rusak ","Dororejo Pati Residents Plant 50,000 Cultivated Mangrove Seedlings to Restore Damaged Coastal Ecosystems"
126,Pati,Jawa Tengah,"Saka Energi Muriah Limited (SEML), 
LPPM Unnes dan BPDAS Pemali Jratun","Jaga Keberlangsungan Ekosistem, SEML Gandeng LPPM Unnes dan BPDAS Pemali Jratun Tanam Mangrove di Kawasan Pesisir ",4000,seedlings,4000 bibit mangrove ditanam,2024,√,https://www.suaramerdeka.com/jawa-tengah/0413844650/jaga-keberlangsungan-ekosistem-seml-gandeng-lppm-unnes-dan-bpdas-pemali-jratun-tanam-mangrove-di-kawasan-pesisir?page=2,"Jaga Keberlangsungan Ekosistem, SEML Gandeng LPPM Unnes dan BPDAS Pemali Jratun Tanam Mangrove di Kawasan Pesisir ","To Maintain Ecosystem Sustainability, SEML Collaborates with LPPM Unnes and BPDAS Pemali Jratun to Plant Mangroves in Coastal Areas"
127,Semarang,Jawa Tengah,"Saka Energi Muriah Limited (SEML), 
LPPM Unnes dan BPDAS Pemali Jratun","Jaga Keberlangsungan Ekosistem, SEML Gandeng LPPM Unnes dan BPDAS Pemali Jratun Tanam Mangrove di Kawasan Pesisir ",4000,seedlings,4000 bibit mangrove ditanam,2024,√,https://www.suaramerdeka.com/jawa-tengah/0413844650/jaga-keberlangsungan-ekosistem-seml-gandeng-lppm-unnes-dan-bpdas-pemali-jratun-tanam-mangrove-di-kawasan-pesisir?page=2,"Jaga Keberlangsungan Ekosistem, SEML Gandeng LPPM Unnes dan BPDAS Pemali Jratun Tanam Mangrove di Kawasan Pesisir ","To Maintain Ecosystem Sustainability, SEML Collaborates with LPPM Unnes and BPDAS Pemali Jratun to Plant Mangroves in Coastal Areas"
128,Pekalongan,Jawa Tengah, PT Daihatsu dan Nasmoco,"Aksi Serentak Peringatan Hari Lingkungan Hidup Sedunia 2025, Kota Pekalongan Tanam Ribuan Bibit Mangrove ",1500,seedlings,1500 bibit mangrove ditanam,2025,√,https://pekalongankota.go.id/berita/aksi-serentak-peringatan-hari-lingkungan-hidup-sedunia-2025-kota-pekalongan-tanam-ribuan-bibit-mangrove-.html,"Aksi Serentak Peringatan Hari Lingkungan Hidup Sedunia 2025, Kota Pekalongan Tanam Ribuan Bibit Mangrove ","World Environment Day 2025 Joint Action, Pekalongan City Plants Thousands of Mangrove Seedlings"
129,Semarang,Jawa Tengah,"PT Bank Danamon Indonesia Tbk (Danamon) 
dan Yayasan Benih Baik Indonesia","Usung Semangat Tumbuh Bersama, Danamon Tanam 10.000 Mangrove di Pantai Tirang",10000,seedlings,10000 bibit mangrove ditanam,2023,√,https://lestari.kompas.com/read/2023/07/16/060000386/usung-semangat-tumbuh-bersama-danamon-tanam-10.000-mangrove-di-pantai-tirang,"Usung Semangat Tumbuh Bersama, Danamon Tanam 10.000 Mangrove di Pantai Tirang","Carrying the Spirit of Growing Together, Danamon Plants 10,000 Mangroves on Tirang Beach"
130,Semarang,Jawa Tengah,PT Hino Finance Indonesia dan LindungiHutan,Hino Finance Indonesia Kembali Tanam 3.500 Mangrove di Semarang dan Lampung,2300,seedlings,2300 bibit mangrove ditanam,2023,√,https://lindungihutan.com/blog/aksi-penghijauan-hino-finance-indonesia/,Hino Finance Indonesia Kembali Tanam 3.500 Mangrove di Semarang dan Lampung,"Hino Finance Indonesia Plants 3,500 More Mangroves in Semarang and Lampung"
131,Semarang,Jawa Tengah,PT Pertamina Gas (Pertagas),"Cegah Intrusi Air Laut, 1.103 Bibit Mangrove DiTanam di Pesisir Tambakrejo ",1103,seedlings,1103 bibit mangrove ditanam,2022,√,https://voi.id/berita/169532/cegah-intrusi-air-laut-1-103-bibit-mangrove-ditanam-di-pesisir-tambakrejo,"Cegah Intrusi Air Laut, 1.103 Bibit Mangrove DiTanam di Pesisir Tambakrejo ","Preventing Seawater Intrusion, 1,103 Mangrove Seedlings Planted on the Tambakrejo Coast"
132,Semarang,Jawa Tengah,PT Nestlé Indonesia,"Komitmen Gerakan Pilih Hijau, Nestle-Milo Melalui Penaman 15.000 Mangrove ",15000,seedlings,15000 bibit mangrove ditanam,2024,√,https://swa.co.id/read/448864/komitmen-gerakan-pilih-hijau-nestl-milo-melalui,"Komitmen Gerakan Pilih Hijau, Nestle-Milo Melalui Penaman 15.000 Mangrove ","Commitment to the “Choose Green” Movement, Nestlé-Milo Plants 15,000 Mangroves"
133,Semarang,Jawa Tengah,PT Lautan Luas Tbk,"Lanjutkan Komitmen Keberlanjutan, Lautan Luas Tanam 10.000 Bibit Mangrove di Semarang ",10000,seedlings,10000 bibit mangrove ditanam,2025,√,https://www.theiconomics.com/brand-equity/lanjutkan-komitmen-keberlanjutan-lautan-luas-tanam-10-000-bibit-mangrove-di-semarang/,"Lanjutkan Komitmen Keberlanjutan, Lautan Luas Tanam 10.000 Bibit Mangrove di Semarang ","Continuing Sustainability Commitment, Lautan Luas Plants 10,000 Mangrove Seedlings in Semarang"
134,Semarang,Jawa Tengah,MS Glow,MS Glow Donasikan 1.000 Tanaman di 7 Kota Indonesia ,500,seedlings,500 bibit mangrove ditanam,2022,√,https://swa.co.id/read/359061/ms-glow-donasikan-1-000-tanaman-di-7-kota-indonesia,MS Glow Donasikan 1.000 Tanaman di 7 Kota Indonesia ,"MS Glow Donates 1,000 Trees in 7 Indonesian Cities"
135,Semarang,Jawa Tengah,Alfamart bersama LindungiHutan,"Penanaman 20.000 Pohon Mangrove di Semarang oleh Alfamart, Lindungi Abrasi dan Serap Emisi ",20000,seedlings,20000 bibit mangrove ditanam,2025,√,https://www.goodnewsfromindonesia.id/2025/05/02/penanaman-mangrove-semarang-hari-bumi,"Penanaman 20.000 Pohon Mangrove di Semarang oleh Alfamart, Lindungi Abrasi dan Serap Emisi ","Planting 20,000 Mangrove Trees in Semarang by Alfamart, Preventing Abrasion and Absorbing Emissions"
136,Semarang,Jawa Tengah,PT Pelindo,Pelindo tegaskan komitmen pulihkan 100 hektare ekosistem mangrove,1500,seedlings,1500 bibit mangrove ditanam,2025,√,https://www.antaranews.com/berita/5060445/pelindo-tegaskan-komitmen-pulihkan-100-hektare-ekosistem-mangrove,Pelindo tegaskan komitmen pulihkan 100 hektare ekosistem mangrove,Pelindo Reinforces Commitment to Restore 100 Hectares of Mangrove Ecosystems
137,Semarang,Jawa Tengah,PT Perusahaan Gas Negara (PGN) Tbk dan National Geographic Indonesia,PGN Tanam 5.000 Mangrove di Semarang: Awal Komitmen untuk Dampak Lingkungan dan Ekonomi yang Lebih Besar,5000,seedlings,5000 bibit mangrove ditanam,2024,√,https://nationalgeographic.grid.id/read/134196081/pgn-tanam-5000-mangrove-di-semarang-awal-komitmen-untuk-dampak-lingkungan-dan-ekonomi-yang-lebih-besar?page=all,PGN Tanam 5.000 Mangrove di Semarang: Awal Komitmen untuk Dampak Lingkungan dan Ekonomi yang Lebih Besar,"PGN Plants 5,000 Mangroves in Semarang: The Start of a Commitment for Greater Environmental and Economic Impact"
138,Semarang,Jawa Tengah,"PT Kawasan Industri Wijayakusuma (KIW) 
dan PT Aptiv Components Indonesia",Sinergi TJSL KIW Bersama PT Aptiv dalam Kegiatan Mangrove Plantation ,650,seedlings,650 bibit mangrove ditanam,2024,√,https://www.kompasiana.com/humasptkiw/66de692ced6415542414f6c2/sinergi-tjsl-kiw-bersama-pt-aptiv-dalam-kegiatan-mangrove-plantation,Sinergi TJSL KIW Bersama PT Aptiv dalam Kegiatan Mangrove Plantation ,TJSL Synergy of KIW with PT Aptiv in Mangrove Plantation Activities
139,Demak,Jawa Tengah,Telkomsel,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ",2000,seedlings,2000 bibit mangrove ditanam,2024,√,https://www.telkomsel.com/about-us/news/telkomsel-jaga-bumi-perkuat-implementasi-esg-kembali-tanam-10600-mangrove-hasil,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ","Telkomsel’s “Care for Earth” Strengthens ESG Implementation, Again Plants 10,600 Mangroves from Customer Point Donations to Reduce Carbon Emissions"
140,Kendal,Jawa Tengah,Telkomsel,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ",2000,seedlings,2000 bibit mangrove ditanam,2024,√,https://www.telkomsel.com/about-us/news/telkomsel-jaga-bumi-perkuat-implementasi-esg-kembali-tanam-10600-mangrove-hasil,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ","Telkomsel’s “Care for Earth” Strengthens ESG Implementation, Again Plants 10,600 Mangroves from Customer Point Donations to Reduce Carbon Emissions"
141,Semarang,Jawa Tengah,Telkomsel,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ",3000,seedlings,3000 bibit mangrove ditanam,2024,√,https://www.telkomsel.com/about-us/news/telkomsel-jaga-bumi-perkuat-implementasi-esg-kembali-tanam-10600-mangrove-hasil,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ","Telkomsel’s “Care for Earth” Strengthens ESG Implementation, Again Plants 10,600 Mangroves from Customer Point Donations to Reduce Carbon Emissions"
142,Cilacap,Jawa Tengah,Telkomsel,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ",600,seedlings,600 bibit mangrove ditanam,2024,√,https://www.telkomsel.com/about-us/news/telkomsel-jaga-bumi-perkuat-implementasi-esg-kembali-tanam-10600-mangrove-hasil,"Telkomsel Jaga Bumi Perkuat Implementasi ESG, Kembali Tanam 10.600 Mangrove Hasil Donasi Poin Pelanggan untuk Kurangi Emisi Karbon ","Telkomsel’s “Care for Earth” Strengthens ESG Implementation, Again Plants 10,600 Mangroves from Customer Point Donations to Reduce Carbon Emissions"
143,Banyuwangi,Jawa Timur,PT Bank Tabungan Negara Tbk (BTN),"Gerakan Banyuwangi Rebound, Cara Banyuwangi Dukung Pengembangan UMKM dan Wisata ",10000,seedlings,10000 bibit mangrove ditanam,2021,√,https://timesindonesia.co.id/pemerintahan/377958/gerakan-banyuwangi-rebound-cara-banyuwangi-dukung-pengembangan-umkm-dan-wisata,"Gerakan Banyuwangi Rebound, Cara Banyuwangi Dukung Pengembangan UMKM dan Wisata ","Banyuwangi Rebound Movement, Banyuwangi’s Way of Supporting MSME and Tourism Development"
144,Banyuwangi,Jawa Timur,PT Bank Negara Indonesia (Persero) Tbk,"HUT ke-78, BNI Tanam 78.000 Bibit Mangrove di Teluk Pangpang ",78000,seedlings,78000 bibit mangrove ditanam,2024,√,https://www.bni.co.id/id-id/beranda/kabar-bni/berita/articleid/23504,"HUT ke-78, BNI Tanam 78.000 Bibit Mangrove di Teluk Pangpang ","78th Anniversary, BNI Plants 78,000 Mangrove Seedlings in Teluk Pangpang"
145,Banyuwangi,Jawa Timur,"Yayasan Astra Honda Motor (Yayasan AHM) 
dan PT. Mitra Pinasthika Mulia ( MPM Honda Jatim) ",Yayasan AHM dan MPM Honda Jatim Tanam Puluhan Ribu Mangrove di Banyuwangi ,20000,seedlings,20000 bibit mangrove ditanam,2024,√,https://kilasjatim.com/yayasan-ahm-dan-mpm-honda-jatim-tanam-puluhan-ribu-mangrove-di-banyuwangi/,Yayasan AHM dan MPM Honda Jatim Tanam Puluhan Ribu Mangrove di Banyuwangi ,AHM Foundation and MPM Honda Jatim Plant Tens of Thousands of Mangroves in Banyuwangi
146,Gresik,Jawa Timur,Petrokimia Gresik,"Dukung Pemerintah Wujudkan Net-Zero Emissions, Petrokimia Gresik Libatkan Masyarakat Tanam Puluhan Ribu Mangrove",1000,seedlings,1000 bibit mangrove ditanam ditanam,2022,√,https://wartaekonomi.co.id/read444871/dukung-pemerintah-wujudkan-net-zero-emissions-petrokimia-gresik-libatkan-masyarakat-tanam-puluhan-ribu-mangrove?page=all,"Dukung Pemerintah Wujudkan Net-Zero Emissions, Petrokimia Gresik Libatkan Masyarakat Tanam Puluhan Ribu Mangrove","Supporting the Government in Realizing Net-Zero Emissions, Petrokimia Gresik Involves Communities in Planting Tens of Thousands of Mangroves"
147,Gresik,Jawa Timur,PT Freeport Indonesia,Freeport Indonesia Tanam 50 Ribu Mangrove di Gresik ,50000,seedlings,50000 bibit mangrove ditanam,2024-2025,√,https://swa.co.id/read/457093/freeport-indonesia-tanam-50-ribu-mangrove-di-gresik,Freeport Indonesia Tanam 50 Ribu Mangrove di Gresik ,"Freeport Indonesia Plants 50,000 Mangroves in Gresik"
148,Gresik,Jawa Timur,SKK Migas dan Petronas,Pemkab Gresik Bersama Petronas dan SKK Migas Tanam 10000 Bibit Mangrove,10000,seedlings,10000 bibit mangrove ditanam ditanam,2022,√,https://beritautama.co/pemkab-gresik-bersama-petronas-dan-skk-migas-tanam-10-000-bibit-mangrove/,Pemkab Gresik Bersama Petronas dan SKK Migas Tanam 10 000 Bibit Mangrove,"Gresik Regency Government with Petronas and SKK Migas Plant 10,000 Mangrove Seedlings"
149,Gresik,Jawa Timur,PT Pertamina Patra Niaga,Pertamina lestarikan lingkungan KEE Gresik lewat Tanam 2.000 mangrove,2000,seedlings,2000 bibit mangrove ditanam,2025,√,https://jatim.antaranews.com/berita/936949/pertamina-lestarikan-lingkungan-kee-gresik-lewat-tanam-2000-mangrove,Pertamina lestarikan lingkungan KEE Gresik lewat Tanam 2.000 mangrove,"Pertamina Preserves the Gresik KEE Environment by Planting 2,000 Mangroves"
